#skipped n median low_quartile hi_quartile mean avg_dev std_dev vari skew kurt conf_lo conf_hi
0 32 12.5 8 15 12.4375 3.6875 4.83894 23.4153 0.523092 0.571535 11.000000 14.000000
1000 32 4 3 7 5.40625 3.43359 4.65493 21.6683 1.47295 2.05901 3.000000 5.000000
2000 32 4 1.5 6.5 4.46875 2.87305 3.66311 13.4183 0.943961 0.15415 2.000000 5.000000
3000 32 3 1 5.5 3.28125 2.44141 3.25511 10.5958 1.48514 2.87502 1.000000 4.000000
4000 32 2.5 1 5.5 3.53125 2.88086 3.95119 15.6119 1.73404 3.46425 1.000000 4.000000
5000 32 3 1 4.5 3.25 2.3125 3.27256 10.7097 1.55545 2.31968 1.000000 4.000000
6000 32 2.5 1 6.5 4.28125 3.39648 4.22919 17.8861 1.109 0.681639 1.000000 6.000000
7000 32 2.5 1 4.5 2.71875 1.84375 2.17366 4.7248 0.405591 -1.18405 1.000000 4.000000
8000 32 2 0 5.5 3.28125 3.11914 4.32722 18.7248 2.00572 4.63551 1.000000 4.000000
9000 32 1 0 3 2.75 2.92188 5.13684 26.3871 3.20094 10.9022 0.000000 3.000000
10000 32 2 1 5.5 4.8125 4.71875 6.7606 45.7056 1.87372 2.56147 2.000000 3.000000
11000 32 2.5 1 5.5 3.96875 3.21094 4.29166 18.4183 1.32303 0.697834 2.000000 4.000000
12000 32 2 1 6 3.9375 3.60547 5.20507 27.0927 1.91584 3.14469 1.000000 4.000000
13000 32 3 1 8.5 5.375 4.91406 6.8427 46.8226 1.82797 2.66866 2.000000 4.000000
14000 32 3 1 7.5 5.1875 4.57031 6.99049 48.8669 2.4628 6.84354 1.000000 5.000000
15000 32 2.5 1 6.5 5.34375 5.47461 8.64575 74.749 2.68816 7.80974 1.000000 4.000000
16000 32 2.5 0.5 9 5.6875 5.57031 7.95324 63.254 1.89779 2.84218 1.000000 5.000000
17000 32 3 0.5 5.5 5.53125 5.33008 8.92616 79.6764 2.65666 7.0367 1.000000 5.000000
18000 32 2 0 8.5 5 5.25 7.45741 55.6129 2.14478 4.96339 0.000000 5.000000
19000 32 2.5 0 7 5.34375 5.36914 9.22343 85.0716 2.72231 6.9389 0.000000 5.000000
20000 32 1 0 5 4 4.375 7.97577 63.6129 3.69226 14.9963 0.000000 3.000000
21000 32 1.5 1 5 5.78125 6.70703 11.6418 135.531 3.45884 13.0577 1.000000 3.000000
22000 32 2.5 0.5 6.5 7.21875 8.24414 14.5707 212.305 2.96086 8.27218 1.000000 5.000000
23000 32 2.5 1 6.5 7.78125 8.70703 14.1529 200.305 2.64652 6.26513 1.000000 4.000000
24000 32 3.5 0 7 7.5 8.0625 13.2981 176.839 2.68041 6.97554 1.000000 5.000000
25000 32 3 1 9 8.28125 8.81445 15.8993 252.789 3.17683 10.3219 1.000000 6.000000
26000 32 2.5 0.5 9.5 7.15625 7.33008 11.1416 124.136 2.33978 5.32881 1.000000 8.000000
27000 32 3 1 11.5 8.34375 8.34766 12.1326 147.201 2.14524 4.28146 2.000000 7.000000
