exp performance test
1 219500 1
1 214032 1
1 182360 1
1 213240 1
1 180225 1
1 17023 1
1 212634 1
1 220711 1
1 234255 1
1 208917 1
2 203790 1
2 1891 1
2 2570 1
2 29353 1
2 15453 1
2 91951 1
2 2570 1
2 59734 1
2 2599 1
2 45532 1
3 234731 1
3 216751 1
3 205692 1
3 230405 1
3 35314 1
3 221213 1
3 73940 1
3 110190 1
3 196092 1
3 217841 1
1 239623 2
1 39566 2
1 229491 2
1 207595 2
1 180262 2
1 223236 2
1 190135 2
1 213466 2
1 224103 2
1 210495 2
2 215868 2
2 306 2
2 1084 2
2 1567 2
2 895 2
2 1075 2
2 1042 2
2 1093 2
2 1042 2
2 1594 2
3 228744 2
3 218203 2
3 217585 2
3 219442 2
3 41215 2
3 217310 2
3 159740 2
3 1061 2
3 229350 2
3 209127 2
1 210863 3
1 203586 3
1 209391 3
1 212965 3
1 173198 3
1 228952 3
1 219451 3
1 199747 3
1 203594 3
1 204660 3
2 210148 3
2 8122 3
2 8496 3
2 26706 3
2 26715 3
2 33226 3
2 8439 3
2 26588 3
2 8540 3
2 26040 3
3 212183 3
3 59076 3
3 239872 3
3 226051 3
3 228399 3
3 216976 3
3 115196 3
3 84450 3
3 222955 3
3 220787 3
1 925 4
1 73 4
1 269 4
1 50 4
1 254 4
1 8 4
1 693 4
1 70 4
1 101 4
1 8 4
2 834 4
2 92 4
2 51 4
2 46 4
2 91 4
2 98 4
2 50 4
2 88 4
2 50 4
2 88 4
3 88 4
3 46 4
3 846 4
3 275 4
3 58 4
3 203 4
3 566 4
3 59 4
3 59 4
3 528 4
1 233882 5
1 197751 5
1 183521 5
1 209648 5
1 128237 5
1 15387 5
1 148219 5
1 209159 5
1 223763 5
1 172022 5
2 217156 5
2 6782 5
2 8465 5
2 41440 5
2 35736 5
2 41257 5
2 7703 5
2 40926 5
2 8422 5
2 41186 5
3 226327 5
3 45992 5
3 208089 5
3 228468 5
3 11338 5
3 213328 5
3 202426 5
3 63534 5
3 11178 5
3 159756 5
1 223554 6
1 218445 6
1 196616 6
1 210551 6
1 182726 6
1 223839 6
1 202217 6
1 2465 6
1 181253 6
1 190582 6
2 208923 6
2 3284 6
2 3435 6
2 2583 6
2 5210 6
2 55966 6
2 3464 6
2 2566 6
2 3435 6
2 2583 6
3 197210 6
3 188753 6
3 210215 6
3 207689 6
3 210801 6
3 208286 6
3 178198 6
3 183114 6
3 215495 6
3 215504 6
